id,question_type,question,gold_accessions,retrieved_accessions,retrieval_precision,retrieval_recall,answer_recall,success,answer
function_val_0030,function_to_protein,What human proteins are related to DNA repair?,P0C5Z0;A4GXA9;A8MW99;P08253;O60264,O60921;O43543;P0C0S8;O95714;P06899;O00487;O94762;P0C5Z0;O60814;O15541;O15511;O75367;A4GXA9;O43913;O14757;O60884;P05204;O75190;O00409;O60264;P09884;O60729;O00115;O94805;O43196;O00712;P02511;O75077;P05997;A8MW99;A0JNW5;O75679;A7E2V4,0.12121212121212122,0.8,0.8,1.0,"**Direct Matches**  * HUS1 (Checkpoint protein HUS1): Involved in DNA repair through its role as a component of the 9-1-1 cell-cycle checkpoint response complex. * XRCC2 (DNA repair protein XRCC2): Plays a major role in homologous recombination repair, a key pathway for repairing double-stranded DNA breaks. * HERC2 (E3 ubiquitin-protein ligase HERC2): Regulates the retention of repair proteins on damaged chromosomes through its E3 ubiquitin-protein ligase activity.  **Possible Related (ESM-2)**  * BLTP3B (Bridge-like lipid transfer protein family member 3B): May interact with HUS1 and contribute to DNA repair processes. * RFPL3 (Ret finger protein-like 3): Stimulates the activity of Human Immunodeficiency Virus 1/HIV-1 pre-integration complex, potentially affecting host cell DNA repair. * ZSWIM8 (Zinc finger SWIM domain-containing protein 8): Recognizes and targets microRNAs for degradation, which may impact DNA repair mechanisms."
function_val_0052,function_to_protein,Name human proteins associated with transcription.,P09936;O14628;O00159;O75132;O60548,O14979;O00268;O75132;O00712;O75486;O60381;O15446;O00409;O75558;O00507;O75077;A6H8Y1;A9UHW6;O75319;O15400;O00422;C9JLW8;O14744;O15318;O75175;O95996;O60548;O60393;O96004;O60284;O75151;P07910;O15116;O43913;O60315;O75618,0.06451612903225806,0.4,0.4,1.0,"**Direct Matches**  * HNRNPDL: Acts as a transcriptional regulator that promotes transcription repression. * TAF4: Is a subunit of the TFIID basal transcription factor complex involved in the initiation of RNA polymerase II-dependent transcription. * ZBED4: Transcriptional regulator that binds to poly-guanine tracts in gene promoters and activates transcription. * NFIB: Transcriptional activator of GFAP, essential for proper brain development. * SUPT3H: Probable transcriptional activator. * HBP1: Transcriptional repressor that binds to the promoter region of target genes. * POLR1G: Component of RNA polymerase I, a DNA-dependent RNA polymerase involved in ribosomal RNA precursor synthesis.  **Possible Related (ESM-2)**  * DEDD: May play a role in transcription regulation through its interaction with other proteins and substrates, similar to SUPT3H. * DEFT: As a scaffold protein that directs CASP3 to certain substrates, it may also be involved in regulating transcription during apoptosis."
function_val_0092,function_to_protein,Which proteins have functions related to signal transduction?,O95237;P01732;O95630;O14744;P06756,O75177;O00268;O75558;O00712;O14638;A4D1B5;O14843;O00291;P01825;P01909;P01877;O95248;O94985;P02748;O43865;O14503;O60568;O94808;O95996;P01597;O75334;O75674;P00374;O75344;O75151;O75952;O95876;P01615;O00506;O00422;O14497;O60548;O75935;O00409;O95427,0.0,0.0,0.0,0.0,"**Direct Matches**  * SS18L1 CREST KIAA0693: Recruits CREB-binding protein to regulate calcium-dependent dendritic growth and branching in cortical neurons, indicating its role in signal transduction. * NFIB (Nuclear factor 1 B-type): Recognizes and binds the palindromic sequence CCAT box, a regulatory element involved in signal transduction pathways.  **Possible Related (ESM-2)**  * ARID1A BAF250: Involved in transcriptional activation and repression of select genes by chromatin remodeling, which is a key process in signal transduction. * FOXD2 FKHL17 FREAC9: Probable transcription factor involved in embryogenesis and somatogenesis, where signal transduction pathways play a crucial role."
function_val_0106,function_to_protein,Find proteins connected to oxidative stress.,P09936;P00519;P08253;O14548;A1X283,O95571;P04179;O14618;O14949;P00505;O00487;O75390;O43865;P05177;O14957;A6NFY7;O14561;O60568;O95361;O43181;A2RUC4;P00374;O95881;A0A0C5B5G6;O00506;O14548;O43598;P0C024;A1L3X0;O15247;O14756;P09936;O95154;O43808;O75077;O00116;O75879;O95298;O95470,0.058823529411764705,0.4,0.4,1.0,"**Direct Matches**  * ETHE1 HSCO: Involved in hydrogen sulfide catabolism and produces reactive oxygen species. * SOD2 (Superoxide dismutase [Mn], mitochondrial): Destroys superoxide anion radicals that are toxic to biological systems.  These proteins are directly involved in the production or neutralization of reactive oxygen species, which are a hallmark of oxidative stress.  **Possible Related (ESM-2)**  * AGPS AAG5: Catalyzes the exchange of acyl chains in acyl-dihydroxyacetonephosphate, producing reactive molecules that can lead to oxidative stress. * GATB PET112 PET112L HSPC199: Involved in tRNA charging and transamidation processes, which can be disrupted by oxidative stress and lead to protein misfolding."
function_val_0135,function_to_protein,Name human proteins associated with metabolism.,P04062;A4D1B5;P04844;O14949;O15541,P05177;P00505;O60568;A0A0C5B5G6;P04406;A5PLL7;O14843;P09936;P0C024;P00374;O14744;P04180;O00507;O43808;A2RUC4;O00330;P09467;O14561;O00487;O75077;O43826;O95479;O95260;C9JRZ8;O95571;P04080;O75190;O43598;O14975;O75864;O00506;O95470;O60909;O15520;P00338,0.0,0.0,0.0,0.0,"**Direct Matches**  * CYP1A2: Involvement in the metabolism of various endogenous substrates, including fatty acids and steroid hormones. * GOT2 KYAT4: Catalyzes the irreversible transamination of L-tryptophan metabolite L-kynurenine to form kynurenic acid, a key step in tryptophan metabolism. * PLOD3: Multifunctional enzyme involved in the post-translational modification of procollagen, which is essential for collagen synthesis and structure.  **Possible Related (ESM-2)**  * STK25 SOK1 YSK1: Oxidant stress-activated serine/threonine kinase that plays a role in metabolic regulation. * SGPL1 KIAA1252: Cleaves phosphorylated sphingoid bases, influencing fatty acid metabolism and stress response."
function_val_0060,function_to_protein,List proteins that play a role in transcription.,O94805;P08922;O60678;A6NCS4;O75132,O14979;O00268;O15318;O75175;O00712;O15446;A6H8Y1;O75319;O00422;O75177;O94762;O15370;O60381;O75151;A7MD48;O75132;O75344;O75486;O75558;C9JLW8;P0C5Z0;P07998;A1L3X0;O43310;O43865;O60548;P07910;O94993;O43719;O75821;P09884;O95208;O00409,0.030303030303030304,0.2,0.2,1.0,"**Direct Matches**  * HNRNPDL: Acts as a transcriptional regulator, promoting transcription repression. * TAF4: Is a subunit of the TFIID basal transcription factor complex that plays a major role in the initiation of RNA polymerase II-dependent transcription. * POLR3G: Catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. * NFIB: Transcriptional activator of GFAP, essential for proper brain development. * TAF2C1, TAF4A, TAFII130, TAFII135, POLR1G, and DUSP11 do not have information indicating roles in transcription.  **Possible Related (ESM-2)**  * POLA1: Catalytic subunit of the DNA polymerase alpha complex, which plays an essential role in the initiation of transcription. * EPN2: Plays a role in the formation of clathrin-coated invaginations and endocytosis, but no direct connection to transcription is mentioned."
function_val_0174,function_to_protein,What human proteins are related to protein binding?,P01615;O95343;O95990;O95248;O43581,O75558;O14908;P01877;P01825;O15400;P01909;P09936;P01597;O00487;O15389;O60784;P07910;P02771;O60235;O00507;P01615;O95782;O75683;P02748;P01764;P09668;O43913;B2RUY7;O60759;O00712;O14979;O00762;O00254;O95260;O94985;O75935;O43237,0.03125,0.2,0.2,1.0,"**Direct Matches**  * STX11 (Syntaxin-11): Regulates protein transport between late endosomes and the trans-Golgi network, involving binding of proteins. * GIPC1 C19orf3 GIPC RGS19IP1 (PDZ domain-containing protein GIPC1): Involved in G protein-linked signaling, which often requires binding to other proteins. * IGHV4-59 (Immunoglobulin heavy variable 4-59): Participates in antigen recognition by binding to other immunoglobulins. * STX7 (Syntaxin-7): May bind to early endosome membranes and facilitate homotypic fusion of endocytic organelles.  **Possible Related (ESM-2)**  * DCTN3 (Dynactin subunit 3): Part of the dynactin complex that binds and activates dynein, a protein involved in transport and possibly binding to other molecules. * DYNC1LI2 (Cytoplasmic dynein 1 light intermediate chain 2): Acts as an accessory component of cytoplasmic dynein, which may bind to proteins for transport or localization."
function_val_0175,function_to_protein,Which human proteins are involved in protein binding?,P08887;O14958;P05106;O95905;O75838,P01877;O75558;P01825;P09936;O60235;O15400;O00487;P07910;P01909;O60784;P01597;O14908;P02771;P02748;P01615;P09668;O95782;O15389;O15260;O00254;O00507;A4D1B5;O75683;P01764;O95260;O43865;O00762;O14907;O95630;P07510;O75935;O15067;P03951,0.0,0.0,0.0,0.0,"**Direct Matches**  * IGHA2 (Immunoglobulin heavy constant alpha 2): This protein is involved in protein binding as a part of immunoglobulin heavy chains that bind to antigens. * STX11 (Syntaxin-11): As an SNARE protein, STX11 regulates protein transport between late endosomes and the trans-Golgi network, which involves binding to proteins. * IGHV4-59 (Immunoglobulin heavy variable 4-59): The V region of this immunoglobulin light chain participates in antigen recognition through binding to antibodies.  **Possible Related (ESM-2)**  * DCTN3 (Dynactin subunit 3): This protein is involved in ultra-processive transport along microtubules, which involves binding to proteins. * PFAS (Phosphoribosylformylglycinamidine synthase): As a deubiquitinating enzyme, UCHL1 (similar to PFAS) regulates protein-protein interactions by removing ubiquitin from target proteins."
function_val_0094,function_to_protein,What human proteins are related to signal transduction?,P01579;P01270;O15446;O00622;O60449,O75558;O75177;O14908;O00268;O95996;O00712;O00507;O75674;O14503;O60784;O00291;O94993;O14638;P01909;O00487;P09936;P02748;O95260;A4D1B5;A2RUC4;P05451;O15400;O00400;A9UHW6;P03999;O95248;O15269;O60879;O43865;O14508;O75935;O14497;O43237;O60548;O95466,0.0,0.0,0.0,0.0,"**Direct Matches**  * STX11: Acts to regulate protein transport between late endosomes and the trans-Golgi network, involving signal transduction pathways. * SS18L1 CREST KIAA0693: Required for calcium-dependent dendritic growth and branching in cortical neurons, suggesting involvement in signal transduction related to neuronal growth. * GIPC1 C19orf3 GIPC RGS19IP1: May be involved in G protein-linked signaling. * TOM1L1 SRCASM: Probable adapter protein involved in signaling pathways.  **Possible Related (ESM-2)**  * DCTN3 DCTN22: Part of the dynactin complex that activates molecular motor dynein for ultra-processive transport, which may involve signal transduction related to cell movement. * ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1: Involved in chromatin remodeling and transcriptional regulation, potentially related to signal transduction pathways."
function_val_0025,function_to_protein,Which human proteins are involved in DNA repair?,O15541;O15511;P02679;O95714;P0C5Z0,O60921;O43543;O00487;P0C5Z0;O95714;P0C0S8;P06899;O94762;O15511;O15541;O60814;O75367;A4GXA9;P09884;O60264;O75190;O60884;O43913;P05204;O60729;O94805;O14757;P07910;O43598;A8MW99;O00115;O95260;P02511;P07305;O00712;A0JNW5;O75679;O75390;O76075;A7E2V4,0.11428571428571428,0.8,0.8,1.0,"**Direct Matches**  1. HUS1 - Component of the 9-1-1 cell-cycle checkpoint response complex that plays a major role in DNA repair. 2. XRCC2 - Involved in the homologous recombination repair (HRR) pathway of double-stranded DNA, thought to repair chromosomal fragmentation, translocations and other DNA damage. 3. H2AB2 - Part of nucleosomes where it represses transcription, but also involved in the process of histone remodeling.  **Possible Related (ESM-2)**  1. BLTP3B - Involved in lipid transfer between membranes at organelle contact sites, possibly related to DNA repair mechanisms. 2. RFPL3 - Stimulates the activity of HIV-1 pre-integration complex, potentially related to DNA damage and repair responses. 3. CS (Citrate synthase) - Key enzyme in the Krebs tricarboxylic acid cycle, which may have indirect implications for DNA repair through its role in cellular metabolism.  Note: The possible related proteins listed under ESM-2 are not as strongly evidence-based as the direct matches, but they are mentioned in the original UniProt data and might be worth investigating further."
